	PayCoin	PriceCST	TokenCST	PriceAA	TokenAA	Total Value
2020-06-25 12:57:25	2.4926E+22	2.3230E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:03:50	2.4926E+22	2.2930E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:10:15	2.4926E+22	2.3140E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:16:40	2.4926E+22	2.3000E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:23:05	2.4926E+22	2.3020E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:29:30	2.4926E+22	2.3050E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:35:55	2.4926E+22	2.2950E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:42:20	2.4926E+22	2.3070E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:48:45	2.4926E+22	2.3100E+19	1.1351E+21		0.0000E+00	
2020-06-25 13:55:10	2.4926E+22	2.3160E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:01:35	2.4926E+22	2.3740E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:08:00	2.4926E+22	2.3810E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:14:25	2.4926E+22	2.3650E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:20:50	2.4926E+22	2.3800E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:27:15	2.4926E+22	2.3750E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:33:40	2.4926E+22	2.3750E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:40:05	2.4926E+22	2.3430E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:46:30	2.4926E+22	2.3700E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:52:55	2.4926E+22	2.3640E+19	1.1351E+21		0.0000E+00	
2020-06-25 14:59:20	2.4926E+22	2.3580E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:05:45	2.4926E+22	2.3570E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:12:10	2.4926E+22	2.3520E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:18:35	2.4926E+22	2.3740E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:25:00	2.4926E+22	2.3600E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:31:25	2.4926E+22	2.3340E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:37:50	2.4926E+22	2.3310E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:44:15	2.4926E+22	2.3180E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:50:40	2.4926E+22	2.2960E+19	1.1351E+21		0.0000E+00	
2020-06-25 15:57:05	2.4926E+22	2.3520E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:03:30	2.4926E+22	2.3780E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:09:55	2.4926E+22	2.3630E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:16:20	2.4926E+22	2.3740E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:22:45	2.4926E+22	2.3940E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:29:10	2.4926E+22	2.3670E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:35:35	2.4926E+22	2.3700E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:42:00	2.4926E+22	2.3780E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:48:25	2.4926E+22	2.4730E+19	1.1351E+21		0.0000E+00	
2020-06-25 16:54:50	2.4926E+22	2.4270E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:01:15	2.4926E+22	2.3810E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:07:40	2.4926E+22	2.3810E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:14:05	2.4926E+22	2.4080E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:20:30	2.4926E+22	2.4080E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:26:55	2.4926E+22	2.3990E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:33:20	2.4926E+22	2.3870E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:39:45	2.4926E+22	2.4040E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:46:10	2.4926E+22	2.3870E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:52:35	2.4926E+22	2.3970E+19	1.1351E+21		0.0000E+00	
2020-06-25 17:59:00	2.4926E+22	2.3910E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:07:31	2.4926E+22	2.3610E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:16:20	2.4926E+22	2.3920E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:23:43	2.4926E+22	2.3560E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:29:36	2.4926E+22	2.3500E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:42:23	2.4926E+22	2.2970E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:49:06	2.4926E+22	2.3390E+19	1.1351E+21		0.0000E+00	
2020-06-26 09:57:21	2.4926E+22	2.3170E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:02:22	2.4926E+22	2.3190E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:07:28	2.4926E+22	2.3220E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:16:32	2.4926E+22	2.3620E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:24:03	2.4926E+22	2.3610E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:33:29	2.4926E+22	2.3590E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:42:11	2.4926E+22	2.3750E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:51:38	2.4926E+22	2.3440E+19	1.1351E+21		0.0000E+00	
2020-06-26 10:59:57	2.4926E+22	2.3520E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:06:56	2.4926E+22	2.3510E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:16:53	2.4926E+22	2.3450E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:35:24	2.4926E+22	2.3280E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:41:55	2.4926E+22	2.3180E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:47:03	2.4926E+22	2.3340E+19	1.1351E+21		0.0000E+00	
2020-06-26 11:55:02	2.4926E+22	2.3270E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:01:29	2.4926E+22	2.3240E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:10:05	2.4926E+22	2.3180E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:17:35	2.4926E+22	2.3250E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:22:45	2.4926E+22	2.2980E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:36:35	2.4926E+22	2.2920E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:43:38	2.4926E+22	2.3200E+19	1.1351E+21		0.0000E+00	
2020-06-26 12:52:58	2.4926E+22	2.3160E+19	1.1351E+21		0.0000E+00	
2020-06-26 13:01:04	2.4926E+22	2.3150E+19	1.1351E+21		0.0000E+00	
2020-06-26 13:10:16	2.4926E+22	2.3440E+19	1.1351E+21		0.0000E+00	
2020-06-26 13:19:28	2.4926E+22	2.3400E+19	1.1351E+21		0.0000E+00	
2020-06-26 13:27:02	5.1442E+22	2.3360E+19	0.0000E+00		0.0000E+00	
2020-06-26 13:34:49	5.1442E+22	2.3330E+19	0.0000E+00		0.0000E+00	
2020-06-26 13:44:20	5.1442E+22	2.3290E+19	0.0000E+00		0.0000E+00	
2020-06-26 13:58:18	5.1442E+22	2.3070E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:07:16	5.1442E+22	2.3160E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:16:19	5.1442E+22	2.3090E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:26:11	5.1442E+22	2.3190E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:32:16	5.1442E+22	2.3240E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:42:11	5.1442E+22	2.3910E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:51:38	5.1442E+22	2.4660E+19	0.0000E+00		0.0000E+00	
2020-06-26 14:58:57	5.1442E+22	2.4440E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:04:06	5.1442E+22	2.5070E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:12:47	5.1442E+22	2.5560E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:20:49	5.1442E+22	2.5160E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:21:33	5.1442E+22	2.5300E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:31:25	5.1442E+22	2.5140E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:40:51	5.1442E+22	2.5360E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:47:45	5.1442E+22	2.5170E+19	0.0000E+00		0.0000E+00	
2020-06-26 15:54:25	5.1442E+22	2.5340E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:00:18	5.1442E+22	2.5610E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:06:57	5.1442E+22	2.6420E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:16:12	5.1442E+22	2.6540E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:21:35	5.1442E+22	2.6460E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:28:33	5.1442E+22	2.6380E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:36:18	5.1442E+22	2.6290E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:45:10	5.1442E+22	2.6330E+19	0.0000E+00		0.0000E+00	
2020-06-26 16:54:01	5.1442E+22	2.6380E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:01:35	5.1442E+22	2.6150E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:09:16	5.1442E+22	2.6560E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:14:39	5.1442E+22	2.5740E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:22:46	5.1442E+22	2.5540E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:32:10	5.1442E+22	2.5640E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:37:53	5.1442E+22	2.6150E+19	0.0000E+00		0.0000E+00	
2020-06-26 17:58:48	5.1442E+22	2.5910E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:20:00	5.1442E+22	2.6330E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:25:00	5.1442E+22	2.6380E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:30:00	5.1442E+22	2.6230E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:35:00	5.1442E+22	2.6150E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:40:00	5.1442E+22	2.6560E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:45:00	5.1442E+22	2.5740E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:50:00	5.1442E+22	2.5540E+19	0.0000E+00		0.0000E+00	
2020-06-27 09:55:00	5.1442E+22	2.5640E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:00:00	5.1442E+22	2.6150E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:05:00	5.1442E+22	2.5910E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:10:00	5.1442E+22	2.6090E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:15:00	5.1442E+22	2.6170E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:20:00	5.1442E+22	2.6140E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:25:00	5.1442E+22	2.6190E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:30:00	5.1442E+22	2.6130E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:35:00	5.1442E+22	2.5930E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:40:00	5.1442E+22	2.5890E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:45:00	5.1442E+22	2.5810E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:50:00	5.1442E+22	2.5520E+19	0.0000E+00		0.0000E+00	
2020-06-27 10:55:00	5.1442E+22	2.5610E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:00:00	5.1442E+22	2.5580E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:05:00	5.1442E+22	2.5670E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:10:00	5.1442E+22	2.5680E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:15:00	5.1442E+22	2.5800E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:20:00	5.1442E+22	2.5850E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:25:00	5.1442E+22	2.6150E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:30:00	5.1442E+22	2.6060E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:35:00	5.1442E+22	2.6090E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:40:00	5.1442E+22	2.5860E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:45:00	5.1442E+22	2.5750E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:50:00	5.1442E+22	2.5660E+19	0.0000E+00		0.0000E+00	
2020-06-27 11:55:00	5.1442E+22	2.5860E+19	0.0000E+00		0.0000E+00	
2020-06-27 12:00:00	2.2755E+22	2.6080E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:05:00	2.2755E+22	2.5880E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:10:00	2.2755E+22	2.5960E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:15:00	2.2755E+22	2.5730E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:20:00	2.2755E+22	2.5810E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:25:00	2.2755E+22	2.5800E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:30:00	2.2755E+22	2.5800E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:35:00	2.2755E+22	2.5900E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:40:00	2.2755E+22	2.5880E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:45:00	2.2755E+22	2.5940E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:50:00	2.2755E+22	2.6320E+19	1.1000E+21		0.0000E+00	
2020-06-27 12:55:00	2.2755E+22	2.5830E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:00:00	2.2755E+22	2.5950E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:05:00	2.2755E+22	2.5610E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:10:00	2.2755E+22	2.5630E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:15:00	2.2755E+22	2.5690E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:20:00	2.2755E+22	2.5530E+19	1.1000E+21		0.0000E+00	
2020-06-27 13:25:00	2.2755E+22	2.5460E+19	1.1000E+21		0.0000E+00	
2020-06-27 16:05:35	2.2755E+22	2.7240E+19	1.1000E+21		0.0000E+00	
2020-06-27 16:14:49	7.9873E+21	2.7370E+19	1.6395E+21		0.0000E+00	
2020-06-27 16:26:51	7.9873E+21	2.7510E+19	1.6395E+21		0.0000E+00	
