	TokenFSS
621	1385300100000000000000
622	1408360800000000000000
623	1477988200000000000000
624	1430462200000000000000
625	1440016000000000000000
626	1464229900000000000000
627	1485000000000000000000
628	1529700000000000000000
629	1576000000000000000000
630	1577700000000000000000
631	1570144900000000000000
632	1537000000000000000000
633	1475000000000000000000
634	1474999900000000000000
635	1465000000000000000000
636	1543380000000000000000
637	1500999500000000000000
638	1514999800000000000000
639	1565137000000000200000
640	1550000000000000000000
641	1520000000000000000000
642	1610000000000000000000
643	1595000000000000000000
644	1657200000000000000000
645	1678005000000000000000
646	1642314400000000000000
647	1650430200000000000000
648	1635000000000000000000
649	1605000000000000000000
650	1624300100000000000000
651	1664005000000000000000
652	1659900000000000000000
653	1693699900000000000000
654	1669000000000000000000
655	1682770000000000000000
656	1674733700000000000000
657	1700000000000000000000
658	1697096000000000000000
659	1744533100000000000000
660	1822219600000000000000
661	1865142999999999800000
662	1795000000000000000000
663	1815000000000000000000
664	1912000000000000000000
665	2085000000000000000000
666	2211303800000000000000
667	2050400000000000000000
668	1949440000000000000000
669	2002310000000000000000
670	1972730000000000000000
671	1934978100000000000000
672	1925000000000000000000
673	1975000000000000000000
674	1989019700000000000000
675	2082456900000000000000
676	2104360700000000000000
677	2159550800000000000000
678	2058856200000000000000
679	2060659900000000000000
680	2044999600000000000000
681	2017000000000000000000
682	1990241800000000000000
683	1900000000000000000000
684	2006000300000000000000
685	1982000000000000000000
686	1962010600000000000000
687	1934900000000000000000
688	1885240000000000000000
689	1747300100000000000000
690	1800000000000000000000
691	1741008800000000000000
692	1696000000000000000000
693	1705001200000000000000
694	1813202500000000000000
695	1837829500000000000000
696	1919850000000000000000
697	1859042900000000000000
698	1842565000000000000000
699	1864500000000000000000
700	1803000700000000000000
701	1790128900000000000000
702	1834000000000000000000
703	1830785000000000000000
704	1868025100000000000000
705	1991400000000000000000
706	2023999000000000000000
707	2037000000000000000000
708	2003500000000000000000
709	2003999500000000000000
710	1990007900000000000000
711	1955000000000000000000
712	1990000000000000000000
713	1979890000000000000000
714	2005348200000000000000
715	2007951200000000000000
716	1932000200000000000000
717	1990789700000000000000
718	1914966100000000000000
719	1967910000000000000000
720	1984209900000000000000
721	1966115800000000000000
722	1974999600000000000000
723	2004997100000000000000
724	2060000000000000000000
725	2057000000000000000000
726	2000162400000000000000
727	2035000000000000000000
728	2000100100000000000000
729	1977678200000000000000
730	1978000000000000000000
731	1966850900000000000000
732	1959988700000000000000
733	1955392400000000000000
734	1911000100000000000000
735	1910197900000000000000
736	1931744900000000000000
737	1898600100000000000000
738	1840720700000000000000
739	1853000100000000000000
